bookname,bookdetail,bookscore,bookscorenums,bookquote,bookimg
阿Q正传,鲁迅 著 / 上海书店出版社 / 2003-7 / 14.50元,8.7,65768,哀其不幸，怒其不争,https://img3.doubanio.com/view/subject/m/public/s1074811.jpg
当我谈跑步时我谈些什么,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,8.2,71499,村上同志告诉我们，身体是革命的本钱,https://img3.doubanio.com/view/subject/m/public/s3507580.jpg
海底两万里,[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元,8.5,65508,你听说过鹦鹉螺号吗？,https://img9.doubanio.com/view/subject/m/public/s1817666.jpg
遇见未知的自己,张德芬 / 华夏出版社 / 2008-1 / 29.00,8.0,70631,都市灵修速成,https://img9.doubanio.com/view/subject/m/public/s3403254.jpg
民主的细节,刘瑜 / 上海三联书店 / 2009-6 / 25.00,8.6,65876,公民养成手册,https://img1.doubanio.com/view/subject/m/public/s4146437.jpg
梦里花落知多少,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8,63662,哀而不伤,https://img3.doubanio.com/view/subject/m/public/s2393243.jpg
鬼吹灯之精绝古城,天下霸唱 / 安徽文艺出版社 / 2006 / 25.00元,8.1,67364,盗墓祖师名不虚传,https://img9.doubanio.com/view/subject/m/public/s2001786.jpg
巨人的陨落,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9,59051,五个家族，一场战争,https://img9.doubanio.com/view/subject/m/public/s28668834.jpg
一只特立独行的猪,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,8.8,59944,生活就是个缓慢受锤的过程，至少还可以特立独行,https://img3.doubanio.com/view/subject/m/public/s1670642.jpg
半生缘,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6,61228,世钧，我们回不去了,https://img1.doubanio.com/view/subject/m/public/s2838737.jpg
华胥引（全二册）,唐七公子 / 现代出版社 / 2011-1 / 39.80元,8.4,64464,现实不如梦中的圆满,https://img3.doubanio.com/view/subject/m/public/s4599550.jpg
格林童话全集,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,9.0,57298,许多隐晦,https://img3.doubanio.com/view/subject/m/public/s1134341.jpg
杀死一只知更鸟,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2,54896,有一种东西不能遵循从众原则，那就是——人的良心,https://img3.doubanio.com/view/subject/m/public/s23128183.jpg
你今天真好看,[美]莉兹•克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元,8.6,58124,呆萌可爱的动物段子手,https://img9.doubanio.com/view/subject/m/public/s28369176.jpg
射雕英雄传（全四册）,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,9.0,55214,侠之大者，为国为民,https://img9.doubanio.com/view/subject/m/public/s2157336.jpg
一个人的朝圣,[英] 蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80,8.1,62245,关于爱和信念的旅行,https://img3.doubanio.com/view/subject/m/public/s26936721.jpg
陪安东尼度过漫长岁月,安东尼 / 长江文艺出版社 / 2008-3 / 18.00,8.3,61591,真正的片段式写作,https://img9.doubanio.com/view/subject/m/public/s2998096.jpg
这些都是你给我的爱,文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元,8.3,58490,只言片语的温暖,https://img3.doubanio.com/view/subject/m/public/s4219471.jpg
